GeneID	PathwayID	Symbol	ENSEMBL
10327	hsa00010	AKR1A1	ENSG00000117448
124	hsa00010	ADH1A	ENSG00000187758
125	hsa00010	ADH1B	ENSG00000196616
126	hsa00010	ADH1C	ENSG00000248144
127	hsa00010	ADH4	ENSG00000198099
128	hsa00010	ADH5	ENSG00000197894
130	hsa00010	ADH6	ENSG00000172955
130589	hsa00010	GALM	ENSG00000143891
131	hsa00010	ADH7	ENSG00000196344
160287	hsa00010	LDHAL6A	ENSG00000166800
1737	hsa00010	DLAT	ENSG00000150768
1738	hsa00010	DLD	ENSG00000091140
2023	hsa00010	ENO1	ENSG00000074800
2026	hsa00010	ENO2	ENSG00000111674
2027	hsa00010	ENO3	ENSG00000108515
217	hsa00010	ALDH2	ENSG00000111275
218	hsa00010	ALDH3A1	ENSG00000108602
219	hsa00010	ALDH1B1	ENSG00000137124
2203	hsa00010	FBP1	ENSG00000165140
221	hsa00010	ALDH3B1	ENSG00000006534
222	hsa00010	ALDH3B2	ENSG00000132746
223	hsa00010	ALDH9A1	ENSG00000143149
224	hsa00010	ALDH3A2	ENSG00000072210
226	hsa00010	ALDOA	ENSG00000149925
229	hsa00010	ALDOB	ENSG00000136872
230	hsa00010	ALDOC	ENSG00000109107
2538	hsa00010	G6PC1	ENSG00000131482
2597	hsa00010	GAPDH	ENSG00000111640
26330	hsa00010	GAPDHS	ENSG00000105679
2645	hsa00010	GCK	ENSG00000106633
2821	hsa00010	GPI	ENSG00000105220
3098	hsa00010	HK1	ENSG00000156515
3099	hsa00010	HK2	ENSG00000159399
3101	hsa00010	HK3	ENSG00000160883
387712	hsa00010	ENO4	ENSG00000188316
3939	hsa00010	LDHA	ENSG00000134333
3945	hsa00010	LDHB	ENSG00000111716
3948	hsa00010	LDHC	ENSG00000166796
441531	hsa00010	PGAM4	ENSG00000226784
501	hsa00010	ALDH7A1	ENSG00000164904
5105	hsa00010	PCK1	ENSG00000124253
5106	hsa00010	PCK2	ENSG00000100889
5160	hsa00010	PDHA1	ENSG00000131828
5161	hsa00010	PDHA2	ENSG00000163114
5162	hsa00010	PDHB	ENSG00000168291
5211	hsa00010	PFKL	ENSG00000141959
5213	hsa00010	PFKM	ENSG00000152556
5214	hsa00010	PFKP	ENSG00000067057
5223	hsa00010	PGAM1	ENSG00000171314
5224	hsa00010	PGAM2	ENSG00000164708
5230	hsa00010	PGK1	ENSG00000102144
5232	hsa00010	PGK2	ENSG00000170950
5236	hsa00010	PGM1	ENSG00000079739
5313	hsa00010	PKLR	ENSG00000143627
5315	hsa00010	PKM	ENSG00000067225
55276	hsa00010	PGM2	ENSG00000169299
55902	hsa00010	ACSS2	ENSG00000131069
57818	hsa00010	G6PC2	ENSG00000152254
669	hsa00010	BPGM	ENSG00000172331
7167	hsa00010	TPI1	ENSG00000111669
80201	hsa00010	HKDC1	ENSG00000156510
83440	hsa00010	ADPGK	ENSG00000159322
84532	hsa00010	ACSS1	ENSG00000154930
8789	hsa00010	FBP2	ENSG00000130957
92483	hsa00010	LDHAL6B	ENSG00000171989
92579	hsa00010	G6PC3	ENSG00000141349
9562	hsa00010	MINPP1	ENSG00000107789
1431	hsa00020	CS	ENSG00000062485
1737	hsa00020	DLAT	ENSG00000150768
1738	hsa00020	DLD	ENSG00000091140
1743	hsa00020	DLST	ENSG00000119689
2271	hsa00020	FH	ENSG00000091483
3417	hsa00020	IDH1	ENSG00000138413
3418	hsa00020	IDH2	ENSG00000182054
3419	hsa00020	IDH3A	ENSG00000166411
3420	hsa00020	IDH3B	ENSG00000101365
3421	hsa00020	IDH3G	ENSG00000067829
4190	hsa00020	MDH1	ENSG00000014641
4191	hsa00020	MDH2	ENSG00000146701
47	hsa00020	ACLY	ENSG00000131473
48	hsa00020	ACO1	ENSG00000122729
4967	hsa00020	OGDH	ENSG00000105953
50	hsa00020	ACO2	ENSG00000100412
5091	hsa00020	PC	ENSG00000173599
5105	hsa00020	PCK1	ENSG00000124253
5106	hsa00020	PCK2	ENSG00000100889
5160	hsa00020	PDHA1	ENSG00000131828
5161	hsa00020	PDHA2	ENSG00000163114
5162	hsa00020	PDHB	ENSG00000168291
55753	hsa00020	OGDHL	ENSG00000197444
6389	hsa00020	SDHA	ENSG00000073578
6390	hsa00020	SDHB	ENSG00000117118
6391	hsa00020	SDHC	ENSG00000143252
6392	hsa00020	SDHD	ENSG00000204370
8801	hsa00020	SUCLG2	ENSG00000172340
8802	hsa00020	SUCLG1	ENSG00000163541
8803	hsa00020	SUCLA2	ENSG00000136143
132158	hsa00030	GLYCTK	ENSG00000168237
2203	hsa00030	FBP1	ENSG00000165140
221823	hsa00030	PRPS1L1	ENSG00000229937
226	hsa00030	ALDOA	ENSG00000149925
229	hsa00030	ALDOB	ENSG00000136872
22934	hsa00030	RPIA	ENSG00000153574
230	hsa00030	ALDOC	ENSG00000109107
2539	hsa00030	G6PD	ENSG00000160211
25796	hsa00030	PGLS	ENSG00000130313
2821	hsa00030	GPI	ENSG00000105220
414328	hsa00030	IDNK	ENSG00000148057
51071	hsa00030	DERA	ENSG00000023697
5211	hsa00030	PFKL	ENSG00000141959
5213	hsa00030	PFKM	ENSG00000152556
5214	hsa00030	PFKP	ENSG00000067057
5226	hsa00030	PGD	ENSG00000142657
5236	hsa00030	PGM1	ENSG00000079739
55276	hsa00030	PGM2	ENSG00000169299
5631	hsa00030	PRPS1	ENSG00000147224
5634	hsa00030	PRPS2	ENSG00000101911
6120	hsa00030	RPE	ENSG00000197713
64080	hsa00030	RBKS	ENSG00000171174
6888	hsa00030	TALDO1	ENSG00000177156
7086	hsa00030	TKT	ENSG00000163931
729020	hsa00030	RPEL1	ENSG00000235376
8277	hsa00030	TKTL1	ENSG00000007350
84076	hsa00030	TKTL2	ENSG00000151005
8789	hsa00030	FBP2	ENSG00000130957
9104	hsa00030	RGN	ENSG00000130988
9563	hsa00030	H6PD	ENSG00000049239
10327	hsa00040	AKR1A1	ENSG00000117448
10720	hsa00040	UGT2B11	ENSG00000213759
10941	hsa00040	UGT2A1	ENSG00000173610
231	hsa00040	AKR1B1	ENSG00000085662
27294	hsa00040	DHDH	ENSG00000104808
2990	hsa00040	GUSB	ENSG00000169919
441282	hsa00040	AKR1B15	ENSG00000227471
51084	hsa00040	CRYL1	ENSG00000165475
51181	hsa00040	DCXR	ENSG00000169738
54490	hsa00040	UGT2B28	ENSG00000135226
54575	hsa00040	UGT1A10	ENSG00000242515
54576	hsa00040	UGT1A8	ENSG00000242366
54577	hsa00040	UGT1A7	ENSG00000244122
54578	hsa00040	UGT1A6	ENSG00000167165
54579	hsa00040	UGT1A5	ENSG00000288705
54600	hsa00040	UGT1A9	ENSG00000241119
54657	hsa00040	UGT1A4	ENSG00000244474
54658	hsa00040	UGT1A1	ENSG00000241635
54659	hsa00040	UGT1A3	ENSG00000288702
55277	hsa00040	FGGY	ENSG00000172456
57016	hsa00040	AKR1B10	ENSG00000198074
574537	hsa00040	UGT2A2	ENSG00000271271
6120	hsa00040	RPE	ENSG00000197713
6652	hsa00040	SORD	ENSG00000140263
729020	hsa00040	RPEL1	ENSG00000235376
729920	hsa00040	CRPPA	ENSG00000214960
7358	hsa00040	UGDH	ENSG00000109814
7360	hsa00040	UGP2	ENSG00000169764
7363	hsa00040	UGT2B4	ENSG00000156096
7364	hsa00040	UGT2B7	ENSG00000171234
7365	hsa00040	UGT2B10	ENSG00000109181
7366	hsa00040	UGT2B15	ENSG00000196620
7367	hsa00040	UGT2B17	ENSG00000197888
79799	hsa00040	UGT2A3	ENSG00000135220
9365	hsa00040	KL	ENSG00000133116
9942	hsa00040	XYLB	ENSG00000093217
197258	hsa00051	FCSK	ENSG00000157353
2203	hsa00051	FBP1	ENSG00000165140
226	hsa00051	ALDOA	ENSG00000149925
229	hsa00051	ALDOB	ENSG00000136872
230	hsa00051	ALDOC	ENSG00000109107
231	hsa00051	AKR1B1	ENSG00000085662
26007	hsa00051	TKFC	ENSG00000149476
2762	hsa00051	GMDS	ENSG00000112699
29925	hsa00051	GMPPB	ENSG00000173540
29926	hsa00051	GMPPA	ENSG00000144591
3098	hsa00051	HK1	ENSG00000156515
3099	hsa00051	HK2	ENSG00000159399
3101	hsa00051	HK3	ENSG00000160883
3795	hsa00051	KHK	ENSG00000138030
4351	hsa00051	MPI	ENSG00000178802
441282	hsa00051	AKR1B15	ENSG00000227471
5207	hsa00051	PFKFB1	ENSG00000158571
5208	hsa00051	PFKFB2	ENSG00000123836
5209	hsa00051	PFKFB3	ENSG00000170525
5210	hsa00051	PFKFB4	ENSG00000114268
5211	hsa00051	PFKL	ENSG00000141959
5213	hsa00051	PFKM	ENSG00000152556
5214	hsa00051	PFKP	ENSG00000067057
5372	hsa00051	PMM1	ENSG00000100417
5373	hsa00051	PMM2	ENSG00000140650
55556	hsa00051	ENOSF1	ENSG00000132199
57016	hsa00051	AKR1B10	ENSG00000198074
57103	hsa00051	TIGAR	ENSG00000078237
6652	hsa00051	SORD	ENSG00000140263
7167	hsa00051	TPI1	ENSG00000111669
7264	hsa00051	GFUS	ENSG00000104522
80201	hsa00051	HKDC1	ENSG00000156510
8789	hsa00051	FBP2	ENSG00000130957
8790	hsa00051	FPGT	ENSG00000254685
130589	hsa00052	GALM	ENSG00000143891
231	hsa00052	AKR1B1	ENSG00000085662
2538	hsa00052	G6PC1	ENSG00000131482
2548	hsa00052	GAA	ENSG00000171298
2582	hsa00052	GALE	ENSG00000117308
2584	hsa00052	GALK1	ENSG00000108479
2592	hsa00052	GALT	ENSG00000213930
2595	hsa00052	GANC	ENSG00000214013
2645	hsa00052	GCK	ENSG00000106633
2683	hsa00052	B4GALT1	ENSG00000086062
2717	hsa00052	GLA	ENSG00000102393
2720	hsa00052	GLB1	ENSG00000170266
3098	hsa00052	HK1	ENSG00000156515
3099	hsa00052	HK2	ENSG00000159399
3101	hsa00052	HK3	ENSG00000160883
3906	hsa00052	LALBA	ENSG00000167531
3938	hsa00052	LCT	ENSG00000115850
441282	hsa00052	AKR1B15	ENSG00000227471
5211	hsa00052	PFKL	ENSG00000141959
5213	hsa00052	PFKM	ENSG00000152556
5214	hsa00052	PFKP	ENSG00000067057
5236	hsa00052	PGM1	ENSG00000079739
55276	hsa00052	PGM2	ENSG00000169299
57016	hsa00052	AKR1B10	ENSG00000198074
57818	hsa00052	G6PC2	ENSG00000152254
6476	hsa00052	SI	ENSG00000090402
7360	hsa00052	UGP2	ENSG00000169764
80201	hsa00052	HKDC1	ENSG00000156510
8704	hsa00052	B4GALT2	ENSG00000117411
8972	hsa00052	MGAM	ENSG00000257335
92579	hsa00052	G6PC3	ENSG00000141349
93432	hsa00052	MGAM2	ENSG00000257743
10327	hsa00053	AKR1A1	ENSG00000117448
10720	hsa00053	UGT2B11	ENSG00000213759
10941	hsa00053	UGT2A1	ENSG00000173610
217	hsa00053	ALDH2	ENSG00000111275
219	hsa00053	ALDH1B1	ENSG00000137124
223	hsa00053	ALDH9A1	ENSG00000143149
224	hsa00053	ALDH3A2	ENSG00000072210
2990	hsa00053	GUSB	ENSG00000169919
501	hsa00053	ALDH7A1	ENSG00000164904
54490	hsa00053	UGT2B28	ENSG00000135226
54575	hsa00053	UGT1A10	ENSG00000242515
54576	hsa00053	UGT1A8	ENSG00000242366
54577	hsa00053	UGT1A7	ENSG00000244122
54578	hsa00053	UGT1A6	ENSG00000167165
54579	hsa00053	UGT1A5	ENSG00000288705
54600	hsa00053	UGT1A9	ENSG00000241119
54657	hsa00053	UGT1A4	ENSG00000244474
54658	hsa00053	UGT1A1	ENSG00000241635
54659	hsa00053	UGT1A3	ENSG00000288702
55586	hsa00053	MIOX	ENSG00000100253
574537	hsa00053	UGT2A2	ENSG00000271271
7358	hsa00053	UGDH	ENSG00000109814
7363	hsa00053	UGT2B4	ENSG00000156096
7364	hsa00053	UGT2B7	ENSG00000171234
7365	hsa00053	UGT2B10	ENSG00000109181
7366	hsa00053	UGT2B15	ENSG00000196620
7367	hsa00053	UGT2B17	ENSG00000197888
79799	hsa00053	UGT2A3	ENSG00000135220
9104	hsa00053	RGN	ENSG00000130988
9365	hsa00053	KL	ENSG00000133116
109703458	hsa00061	HTD2	ENSG00000255154
197322	hsa00061	ACSF3	ENSG00000176715
2180	hsa00061	ACSL1	ENSG00000151726
2181	hsa00061	ACSL3	ENSG00000123983
2182	hsa00061	ACSL4	ENSG00000068366
2194	hsa00061	FASN	ENSG00000169710
23205	hsa00061	ACSBG1	ENSG00000103740
23305	hsa00061	ACSL6	ENSG00000164398
27349	hsa00061	MCAT	ENSG00000100294
31	hsa00061	ACACA	ENSG00000278540
32	hsa00061	ACACB	ENSG00000076555
51102	hsa00061	MECR	ENSG00000116353
51703	hsa00061	ACSL5	ENSG00000197142
54995	hsa00061	OXSM	ENSG00000151093
55301	hsa00061	OLAH	ENSG00000152463
7923	hsa00061	HSD17B8	ENSG00000204228
81616	hsa00061	ACSBG2	ENSG00000130377
84869	hsa00061	CBR4	ENSG00000145439
10449	hsa00062	ACAA2	ENSG00000167315
10965	hsa00062	ACOT2	ENSG00000119673
11332	hsa00062	ACOT7	ENSG00000097021
117145	hsa00062	THEM4	ENSG00000159445
122970	hsa00062	ACOT4	ENSG00000177465
1892	hsa00062	ECHS1	ENSG00000127884
201562	hsa00062	HACD2	ENSG00000206527
284486	hsa00062	THEM5	ENSG00000196407
3030	hsa00062	HADHA	ENSG00000084754
3032	hsa00062	HADHB	ENSG00000138029
3033	hsa00062	HADH	ENSG00000138796
401494	hsa00062	HACD4	ENSG00000188921
51102	hsa00062	MECR	ENSG00000116353
51144	hsa00062	HSD17B12	ENSG00000149084
51495	hsa00062	HACD3	ENSG00000074696
54898	hsa00062	ELOVL2	ENSG00000197977
5538	hsa00062	PPT1	ENSG00000131238
60481	hsa00062	ELOVL5	ENSG00000012660
641371	hsa00062	ACOT1	ENSG00000184227
64834	hsa00062	ELOVL1	ENSG00000066322
6785	hsa00062	ELOVL4	ENSG00000118402
79071	hsa00062	ELOVL6	ENSG00000170522
79993	hsa00062	ELOVL7	ENSG00000164181
83401	hsa00062	ELOVL3	ENSG00000119915
9200	hsa00062	HACD1	ENSG00000165996
9374	hsa00062	PPT2	ENSG00000221988
9524	hsa00062	TECR	ENSG00000099797
10449	hsa00071	ACAA2	ENSG00000167315
10455	hsa00071	ECI2	ENSG00000198721
113612	hsa00071	CYP2U1	ENSG00000155016
124	hsa00071	ADH1A	ENSG00000187758
125	hsa00071	ADH1B	ENSG00000196616
126	hsa00071	ADH1C	ENSG00000248144
126129	hsa00071	CPT1C	ENSG00000169169
127	hsa00071	ADH4	ENSG00000198099
128	hsa00071	ADH5	ENSG00000197894
130	hsa00071	ADH6	ENSG00000172955
131	hsa00071	ADH7	ENSG00000196344
1374	hsa00071	CPT1A	ENSG00000110090
1375	hsa00071	CPT1B	ENSG00000205560
1376	hsa00071	CPT2	ENSG00000157184
1632	hsa00071	ECI1	ENSG00000167969
1892	hsa00071	ECHS1	ENSG00000127884
1962	hsa00071	EHHADH	ENSG00000113790
217	hsa00071	ALDH2	ENSG00000111275
2180	hsa00071	ACSL1	ENSG00000151726
2181	hsa00071	ACSL3	ENSG00000123983
2182	hsa00071	ACSL4	ENSG00000068366
219	hsa00071	ALDH1B1	ENSG00000137124
223	hsa00071	ALDH9A1	ENSG00000143149
224	hsa00071	ALDH3A2	ENSG00000072210
23205	hsa00071	ACSBG1	ENSG00000103740
23305	hsa00071	ACSL6	ENSG00000164398
2639	hsa00071	GCDH	ENSG00000105607
30	hsa00071	ACAA1	ENSG00000060971
3030	hsa00071	HADHA	ENSG00000084754
3032	hsa00071	HADHB	ENSG00000138029
3033	hsa00071	HADH	ENSG00000138796
33	hsa00071	ACADL	ENSG00000115361
34	hsa00071	ACADM	ENSG00000117054
35	hsa00071	ACADS	ENSG00000122971
36	hsa00071	ACADSB	ENSG00000196177
37	hsa00071	ACADVL	ENSG00000072778
38	hsa00071	ACAT1	ENSG00000075239
39	hsa00071	ACAT2	ENSG00000120437
501	hsa00071	ALDH7A1	ENSG00000164904
51	hsa00071	ACOX1	ENSG00000161533
51703	hsa00071	ACSL5	ENSG00000197142
81616	hsa00071	ACSBG2	ENSG00000130377
8310	hsa00071	ACOX3	ENSG00000087008
1056	hsa00100	CEL	ENSG00000170835
10682	hsa00100	EBP	ENSG00000147155
120227	hsa00100	CYP2R1	ENSG00000186104
1591	hsa00100	CYP24A1	ENSG00000019186
1594	hsa00100	CYP27B1	ENSG00000111012
1595	hsa00100	CYP51A1	ENSG00000001630
1717	hsa00100	DHCR7	ENSG00000172893
1718	hsa00100	DHCR24	ENSG00000116133
2222	hsa00100	FDFT1	ENSG00000079459
3930	hsa00100	LBR	ENSG00000143815
3988	hsa00100	LIPA	ENSG00000107798
4047	hsa00100	LSS	ENSG00000160285
50814	hsa00100	NSDHL	ENSG00000147383
51478	hsa00100	HSD17B7	ENSG00000132196
6307	hsa00100	MSMO1	ENSG00000052802
6309	hsa00100	SC5D	ENSG00000109929
6646	hsa00100	SOAT1	ENSG00000057252
6713	hsa00100	SQLE	ENSG00000104549
7108	hsa00100	TM7SF2	ENSG00000149809
8435	hsa00100	SOAT2	ENSG00000167780
10005	hsa00120	ACOT8	ENSG00000101473
10858	hsa00120	CYP46A1	ENSG00000036530
10998	hsa00120	SLC27A5	ENSG00000083807
1109	hsa00120	AKR1C4	ENSG00000198610
1581	hsa00120	CYP7A1	ENSG00000167910
1582	hsa00120	CYP8B1	ENSG00000180432
1593	hsa00120	CYP27A1	ENSG00000135929
23600	hsa00120	AMACR	ENSG00000242110
3295	hsa00120	HSD17B4	ENSG00000133835
51302	hsa00120	CYP39A1	ENSG00000146233
570	hsa00120	BAAT	ENSG00000136881
6342	hsa00120	SCP2	ENSG00000116171
6718	hsa00120	AKR1D1	ENSG00000122787
80270	hsa00120	HSD3B7	ENSG00000099377
8309	hsa00120	ACOX2	ENSG00000168306
9023	hsa00120	CH25H	ENSG00000138135
9420	hsa00120	CYP7B1	ENSG00000172817
10229	hsa00130	COQ7	ENSG00000167186
154807	hsa00130	VKORC1L1	ENSG00000196715
1728	hsa00130	NQO1	ENSG00000181019
2677	hsa00130	GGCX	ENSG00000115486
27235	hsa00130	COQ2	ENSG00000173085
3242	hsa00130	HPD	ENSG00000158104
51004	hsa00130	COQ6	ENSG00000119723
51805	hsa00130	COQ3	ENSG00000132423
6898	hsa00130	TAT	ENSG00000198650
79001	hsa00130	VKORC1	ENSG00000167397
84274	hsa00130	COQ5	ENSG00000110871
100861540	hsa00140	CYP3A7-CYP3A51P	ENSG00000282301
10720	hsa00140	UGT2B11	ENSG00000213759
10941	hsa00140	UGT2A1	ENSG00000173610
1109	hsa00140	AKR1C4	ENSG00000198610
1312	hsa00140	COMT	ENSG00000093010
1543	hsa00140	CYP1A1	ENSG00000140465
1544	hsa00140	CYP1A2	ENSG00000140505
1545	hsa00140	CYP1B1	ENSG00000138061
1551	hsa00140	CYP3A7	ENSG00000160870
1571	hsa00140	CYP2E1	ENSG00000130649
1576	hsa00140	CYP3A4	ENSG00000160868
1577	hsa00140	CYP3A5	ENSG00000106258
1581	hsa00140	CYP7A1	ENSG00000167910
1583	hsa00140	CYP11A1	ENSG00000140459
1584	hsa00140	CYP11B1	ENSG00000160882
1585	hsa00140	CYP11B2	ENSG00000179142
1586	hsa00140	CYP17A1	ENSG00000148795
1588	hsa00140	CYP19A1	ENSG00000137869
1589	hsa00140	CYP21A2	ENSG00000231852
1645	hsa00140	AKR1C1	ENSG00000187134
1646	hsa00140	AKR1C2	ENSG00000151632
220074	hsa00140	LRTOMT	ENSG00000284922
3283	hsa00140	HSD3B1	ENSG00000203857
3284	hsa00140	HSD3B2	ENSG00000203859
3290	hsa00140	HSD11B1	ENSG00000117594
3291	hsa00140	HSD11B2	ENSG00000176387
3292	hsa00140	HSD17B1	ENSG00000108786
3293	hsa00140	HSD17B3	ENSG00000130948
3294	hsa00140	HSD17B2	ENSG00000086696
374875	hsa00140	HSD11B1L	ENSG00000167733
412	hsa00140	STS	ENSG00000101846
51144	hsa00140	HSD17B12	ENSG00000149084
51170	hsa00140	HSD17B11	ENSG00000198189
51478	hsa00140	HSD17B7	ENSG00000132196
54490	hsa00140	UGT2B28	ENSG00000135226
54575	hsa00140	UGT1A10	ENSG00000242515
54576	hsa00140	UGT1A8	ENSG00000242366
54577	hsa00140	UGT1A7	ENSG00000244122
54578	hsa00140	UGT1A6	ENSG00000167165
54579	hsa00140	UGT1A5	ENSG00000288705
54600	hsa00140	UGT1A9	ENSG00000241119
54657	hsa00140	UGT1A4	ENSG00000244474
54658	hsa00140	UGT1A1	ENSG00000241635
54659	hsa00140	UGT1A3	ENSG00000288702
574537	hsa00140	UGT2A2	ENSG00000271271
6715	hsa00140	SRD5A1	ENSG00000145545
6716	hsa00140	SRD5A2	ENSG00000277893
6718	hsa00140	AKR1D1	ENSG00000122787
6783	hsa00140	SULT1E1	ENSG00000109193
6820	hsa00140	SULT2B1	ENSG00000088002
7363	hsa00140	UGT2B4	ENSG00000156096
7364	hsa00140	UGT2B7	ENSG00000171234
7365	hsa00140	UGT2B10	ENSG00000109181
7366	hsa00140	UGT2B15	ENSG00000196620
7367	hsa00140	UGT2B17	ENSG00000197888
79154	hsa00140	DHRS11	ENSG00000278535
7923	hsa00140	HSD17B8	ENSG00000204228
79644	hsa00140	SRD5A3	ENSG00000128039
79799	hsa00140	UGT2A3	ENSG00000135220
8630	hsa00140	HSD17B6	ENSG00000025423
8644	hsa00140	AKR1C3	ENSG00000196139
9420	hsa00140	CYP7B1	ENSG00000172817
100532726	hsa00190	NDUFC2-KCTD14	ENSG00000259112
10063	hsa00190	COX17	ENSG00000138495
10312	hsa00190	TCIRG1	ENSG00000110719
10476	hsa00190	ATP5PD	ENSG00000167863
10632	hsa00190	ATP5MG	ENSG00000167283
10975	hsa00190	UQCR11	ENSG00000127540
125965	hsa00190	COX6B2	ENSG00000160471
126328	hsa00190	NDUFA11	ENSG00000174886
127124	hsa00190	ATP6V1G3	ENSG00000151418
1327	hsa00190	COX4I1	ENSG00000131143
1329	hsa00190	COX5B	ENSG00000135940
1337	hsa00190	COX6A1	ENSG00000111775
1339	hsa00190	COX6A2	ENSG00000156885
1340	hsa00190	COX6B1	ENSG00000126267
1345	hsa00190	COX6C	ENSG00000164919
1346	hsa00190	COX7A1	ENSG00000161281
1347	hsa00190	COX7A2	ENSG00000112695
1349	hsa00190	COX7B	ENSG00000131174
1350	hsa00190	COX7C	ENSG00000127184
1351	hsa00190	COX8A	ENSG00000176340
1352	hsa00190	COX10	ENSG00000006695
1353	hsa00190	COX11	ENSG00000166260
1355	hsa00190	COX15	ENSG00000014919
1537	hsa00190	CYC1	ENSG00000179091
155066	hsa00190	ATP6V0E2	ENSG00000171130
170712	hsa00190	COX7B2	ENSG00000170516
23545	hsa00190	ATP6V0A2	ENSG00000185344
245972	hsa00190	ATP6V0D2	ENSG00000147614
245973	hsa00190	ATP6V1C2	ENSG00000143882
27068	hsa00190	PPA2	ENSG00000138777
27089	hsa00190	UQCRQ	ENSG00000164405
29796	hsa00190	UQCR10	ENSG00000184076
341947	hsa00190	COX8C	ENSG00000187581
374291	hsa00190	NDUFS7	ENSG00000115286
440567	hsa00190	UQCRHL	ENSG00000233954
4508	hsa00190	ATP6	ENSG00000198899
4509	hsa00190	ATP8	ENSG00000228253
4512	hsa00190	COX1	ENSG00000198804
4513	hsa00190	COX2	ENSG00000198712
4514	hsa00190	COX3	ENSG00000198938
4519	hsa00190	CYTB	ENSG00000198727
4535	hsa00190	ND1	ENSG00000198888
4536	hsa00190	ND2	ENSG00000198763
4537	hsa00190	ND3	ENSG00000198840
4538	hsa00190	ND4	ENSG00000198886
4539	hsa00190	ND4L	ENSG00000212907
4540	hsa00190	ND5	ENSG00000198786
4541	hsa00190	ND6	ENSG00000198695
4694	hsa00190	NDUFA1	ENSG00000125356
4695	hsa00190	NDUFA2	ENSG00000131495
4696	hsa00190	NDUFA3	ENSG00000170906
4697	hsa00190	NDUFA4	ENSG00000189043
4698	hsa00190	NDUFA5	ENSG00000128609
4700	hsa00190	NDUFA6	ENSG00000184983
4701	hsa00190	NDUFA7	ENSG00000267855
4702	hsa00190	NDUFA8	ENSG00000119421
4704	hsa00190	NDUFA9	ENSG00000139180
4705	hsa00190	NDUFA10	ENSG00000130414
4706	hsa00190	NDUFAB1	ENSG00000004779
4707	hsa00190	NDUFB1	ENSG00000183648
4708	hsa00190	NDUFB2	ENSG00000090266
4709	hsa00190	NDUFB3	ENSG00000119013
4710	hsa00190	NDUFB4	ENSG00000065518
4711	hsa00190	NDUFB5	ENSG00000136521
4712	hsa00190	NDUFB6	ENSG00000165264
4713	hsa00190	NDUFB7	ENSG00000099795
4714	hsa00190	NDUFB8	ENSG00000166136
4715	hsa00190	NDUFB9	ENSG00000147684
4716	hsa00190	NDUFB10	ENSG00000140990
4717	hsa00190	NDUFC1	ENSG00000109390
4718	hsa00190	NDUFC2	ENSG00000151366
4719	hsa00190	NDUFS1	ENSG00000023228
4720	hsa00190	NDUFS2	ENSG00000158864
4722	hsa00190	NDUFS3	ENSG00000213619
4723	hsa00190	NDUFV1	ENSG00000167792
4724	hsa00190	NDUFS4	ENSG00000164258
4725	hsa00190	NDUFS5	ENSG00000168653
4726	hsa00190	NDUFS6	ENSG00000145494
4728	hsa00190	NDUFS8	ENSG00000110717
4729	hsa00190	NDUFV2	ENSG00000178127
4731	hsa00190	NDUFV3	ENSG00000160194
479	hsa00190	ATP12A	ENSG00000075673
495	hsa00190	ATP4A	ENSG00000105675
496	hsa00190	ATP4B	ENSG00000186009
498	hsa00190	ATP5F1A	ENSG00000152234
506	hsa00190	ATP5F1B	ENSG00000110955
50617	hsa00190	ATP6V0A4	ENSG00000105929
509	hsa00190	ATP5F1C	ENSG00000165629
51079	hsa00190	NDUFA13	ENSG00000186010
513	hsa00190	ATP5F1D	ENSG00000099624
51382	hsa00190	ATP6V1D	ENSG00000100554
514	hsa00190	ATP5F1E	ENSG00000124172
515	hsa00190	ATP5PB	ENSG00000116459
516	hsa00190	ATP5MC1	ENSG00000159199
51606	hsa00190	ATP6V1H	ENSG00000047249
517	hsa00190	ATP5MC2	ENSG00000135390
518	hsa00190	ATP5MC3	ENSG00000154518
521	hsa00190	ATP5ME	ENSG00000169020
522	hsa00190	ATP5PF	ENSG00000154723
523	hsa00190	ATP6V1A	ENSG00000114573
525	hsa00190	ATP6V1B1	ENSG00000116039
526	hsa00190	ATP6V1B2	ENSG00000147416
527	hsa00190	ATP6V0C	ENSG00000185883
528	hsa00190	ATP6V1C1	ENSG00000155097
529	hsa00190	ATP6V1E1	ENSG00000131100
533	hsa00190	ATP6V0B	ENSG00000117410
534	hsa00190	ATP6V1G2	ENSG00000213760
535	hsa00190	ATP6V0A1	ENSG00000033627
537	hsa00190	ATP6AP1	ENSG00000071553
539	hsa00190	ATP5PO	ENSG00000241837
54205	hsa00190	CYCS	ENSG00000172115
54539	hsa00190	NDUFB11	ENSG00000147123
5464	hsa00190	PPA1	ENSG00000180817
55967	hsa00190	NDUFA12	ENSG00000184752
56901	hsa00190	NDUFA4L2	ENSG00000185633
6389	hsa00190	SDHA	ENSG00000073578
6390	hsa00190	SDHB	ENSG00000117118
6391	hsa00190	SDHC	ENSG00000143252
6392	hsa00190	SDHD	ENSG00000204370
64077	hsa00190	LHPP	ENSG00000107902
7381	hsa00190	UQCRB	ENSG00000156467
7384	hsa00190	UQCRC1	ENSG00000010256
7385	hsa00190	UQCRC2	ENSG00000140740
7386	hsa00190	UQCRFS1	ENSG00000169021
7388	hsa00190	UQCRH	ENSG00000173660
84701	hsa00190	COX4I2	ENSG00000131055
8992	hsa00190	ATP6V0E1	ENSG00000113732
